essay_id	essay_set	essay	score1
LF.26b2.393.1	LF_26b2	: As the contour lines on the map get closer the mountain side gets steeper . 	partially_correct_incomplete
LF.26b2.403.1	LF_26b2	: The lines on the map are close together . 	partially_correct_incomplete
LF.26b2.408.1	LF_26b2	: You can tell because it is at the top and it is 5000 . 	irrelevant
LF.26b2.416.1	LF_26b2	: Because the contour lines on the map are closer than the others . 	partially_correct_incomplete
LF.26b2.417.1	LF_26b2	: I can tell because the contour lines on the map closer . 	partially_correct_incomplete
LF.26b2.421.1	LF_26b2	: S because it is closer together . 	contradictory
LF.26b2.430.1	LF_26b2	: It is steeper because it is below sea level . 	irrelevant
LF.26b2.433.1	LF_26b2	: Because it looks like it is going further down than the others . 	irrelevant
LF.26b2.436.1	LF_26b2	: How do I know it is the steepest because the lines on the map are closer . 	correct
LF.26b2.445.1	LF_26b2	: I know because Q is at the bottom of the map . 	irrelevant
LF.26b2.446.1	LF_26b2	: Because the line on the map is closer . 	partially_correct_incomplete
LF.26b2.464.1	LF_26b2	: Because it has a line in it and probably it is a valley or something . 	partially_correct_incomplete
LF.26b2.476.1	LF_26b2	: Because the contour lines on the map are close to each other . 	partially_correct_incomplete
LF.26b2.477.1	LF_26b2	: Because you can see that her lines has the top and it is steeper . 	partially_correct_incomplete
LF.26b2.479.1	LF_26b2	: Because it is in the middle and it is steeper . 	irrelevant
LF.26b2.486.1	LF_26b2	: Q is the steepest part of the map the line on the map is close together . 	correct
LF.26b2.492.1	LF_26b2	: Because Q is moving like a snake and it is hard to go swirl like this . 	irrelevant
LF.26b2.511.1	LF_26b2	: Q . Because the contour lines on the map are closer together to make it steeper . 	correct
LF.26b2.527.1	LF_26b2	: Because it curves going up the mountain . 	irrelevant
LF.26b2.531.1	LF_26b2	: Because the contour lines on the map are closer together than the other R and S . 	correct
LF.26b2.537.1	LF_26b2	: Because the elevation of the trail increases and does not decrease . 	irrelevant
LF.26b2.680.1	LF_26b2	: I know because the contour lines on the map are closer together . 	partially_correct_incomplete
LF.26b2.708.1	LF_26b2	: Because the lines on the map are closer together . 	partially_correct_incomplete
LF.26b2.717.1	LF_26b2	: The land lines on the map are close . 	partially_correct_incomplete
LF.26b2.740.1	LF_26b2	: The lines on the map are closer together . 	partially_correct_incomplete
LF.26b2.743.1	LF_26b2	: Because it is the straightest part . 	irrelevant
LF.26b2.778.1	LF_26b2	: The contour lines on the map are closer together . 	correct
LF.26b2.786.1	LF_26b2	: I know because the contour lines on the map are closer together . 	partially_correct_incomplete
LF.26b2.802.1	LF_26b2	: I know it is the steepest part because the contour lines on the map are closer together . 	correct
LF.26b2.808.1	LF_26b2	: The contour lines on the map are close together . 	partially_correct_incomplete
LF.26b2.814.1	LF_26b2	: I know it is the steepest part of the trail because the lines on the map are the closest together . 	correct
LF.26b2.823.1	LF_26b2	: Because the contour lines on the map are closer . 	partially_correct_incomplete
LF.26b2.838.1	LF_26b2	: Q because the place it is located . 	irrelevant
LF.26b2.839.1	LF_26b2	: Q is on the steepest part of the trail . I know this because the lines on the map are closer together . 	correct
LF.26b2.846.1	LF_26b2	: The contour lines on the map are close together . 	partially_correct_incomplete
LF.26b2.922.1	LF_26b2	: I know it is the steepest trail because the lines on the map are close together . 	correct
LF.26b2.468.1	LF_26b2	: I know because the contour lines on the map are smaller . 	correct
LF.26b2.661.1	LF_26b2	: I Think this because for Q the mountains steepness 5000 and Q is very close . 	partially_correct_incomplete
LF.26b2.776.1	LF_26b2	: The contour lines on the map are closer together . 	correct
LF.26b2.845.1	LF_26b2	: I know this by on the Q side the lines on the map are closer together so they are steeper . 	correct
