essay_id	essay_set	essay	score1	score2
21421	8	: Paul is motivated by the information because Mr. Leonard was a star athelete and has given his time to help his time to help excel at something . Paul also is sympathetic towards his coach because Mr. Leonard ca n't read , like Paul . Paul is then motivated to invest time in Mr. Leonard teaching him something that he does n't know how to do . 	2	2
20416	8	: When Paul sees that Mr. Leonard was a great high school athelete , he is inspired to do his best , and be like him . Also , having someone to look up to that used to do the same thing that you are doing is very nice when trying to accomplish something . When Paul learns that his role model was not a good student , and can not read very well , he is empathetic for his new friend . Now that he and Paul have these things in common , they will begin to help each other in the areas in which they struggle with . 	2	2
20790	8	: The background information that Paul finds out helps Paul know that he can become an athlete too . It also proves that Paul can go to college even though he ca n't read . Mr. Leonard went to college and was a good athlete even though he could n't read . 	1	1
20890	8	: Paul was a guy who felt neglected and was always picked last and Mr. Leonard picked up on it . He knows what it is like to feel embarrassed to not be able to do something because he flunked out of college . He motivated Paul to do hurdles and showed him how they are obstacles in life . He also found that he was not good at reading either so he was concerned and wanted to help . 	0	0
20367	8	: That they both have a problem in reading and knowing they should of got the help even if they not had a learing center . Moving along would be complicated with thier lifes and gettin into a school where they are succesful in your own way of living . 	0	0
21519	8	: The effect Mr. Leonard 's background information had on Paul was that Paul began to feel a connection with Mr. Leonard . In the story , Paul stated that he believed he only did the hurdles at first because he was used to obeying Mr. Leonard . However , after learning about Mr. Leonard , Paul begins to see the similarities between them . Both worked hard and excelled atheletically , but had trouble academically . These similarities make Paul empathetic toward Mr. Leonard and wish to help the man . 	1	1
21256	8	: This background information helps Paul realize why Mr. Leonard was helping him out . Before knowing that Mr. Leonard was a college track star , Paul did n't really have a reason for why he went out of his way to work with him . Paul also makes another realization when he finds out that Mr. Leonard had trouble reading and learning just like he did . 	2	2
20935	8	: The background information about Mr. Leonard effects Paul because it was surprising that a janitor was a star athlete in college . Paul is overwhelmed because Mr. Leonard broke records and won the 400 meter hurdles at the nationals . 	2	2
21670	8	: the effect that Paul gets when he gets the backround information on Mr. Leonard was shcok and disbelief . After confronting Mr. leonard about the information , Paul says 'Why did n't you tell me about this . the information showed that Mt . leonard was a college freshman who won the 400 meter dash and broke records . But failed out for not being able to read . 	2	2
21549	8	: he felt bad and wanted to help him out to by helping him train 	1	1
