essay_id	essay_set	essay	score1
LF.26b2.393.1	LF_27a	: As the contour lines get closer the mountain side gets steeper . 	partially_correct_incomplete
LF.26b2.403.1	LF_27a	: The lines are close together . 	partially_correct_incomplete
LF.26b2.408.1	LF_27a	: You can tell because it is at the top and it is 5000 . 	irrelevant
LF.26b2.416.1	LF_27a	: Because the contour lines are closer than the others . 	partially_correct_incomplete
LF.26b2.417.1	LF_27a	: I can tell because the contour lines closer . 	partially_correct_incomplete
LF.26b2.421.1	LF_27a	: S because it is closer together . 	contradictory
LF.26b2.430.1	LF_27a	: It is steeper because it is below sea level . 	irrelevant
LF.26b2.433.1	LF_27a	: Because it looks like it is going further down than the others . 	irrelevant
LF.26b2.436.1	LF_27a	: How do I know it is the steepest because the lines are closer . 	correct
LF.26b2.445.1	LF_27a	: I know because Q is at the bottom of the map . 	irrelevant
LF.26b2.446.1	LF_27a	: Because the line is closer . 	partially_correct_incomplete
LF.26b2.464.1	LF_27a	: Because it has a line in it and probably it is a valley or something . 	partially_correct_incomplete
LF.26b2.476.1	LF_27a	: Because the contour lines are close to each other . 	partially_correct_incomplete
LF.26b2.477.1	LF_27a	: Because you can see that her lines has the top and it is steeper . 	partially_correct_incomplete
LF.26b2.479.1	LF_27a	: Because it is in the middle and it is steeper . 	irrelevant
LF.26b2.486.1	LF_27a	: Q is the steepest part of the map the line is close together . 	correct
LF.26b2.492.1	LF_27a	: Because Q is moving like a snake and it is hard to go swirl like this . 	irrelevant
LF.26b2.511.1	LF_27a	: Q . Because the contour lines are closer together to make it steeper . 	correct
LF.26b2.527.1	LF_27a	: Because it curves going up the mountain . 	irrelevant
LF.26b2.531.1	LF_27a	: Because the contour lines are closer together than the other R and S . 	correct
LF.26b2.537.1	LF_27a	: Because the elevation increases and does not decrease . 	irrelevant
LF.26b2.680.1	LF_27a	: I know because the contour lines are closer together . 	partially_correct_incomplete
LF.26b2.708.1	LF_27a	: Because the lines are closer together . 	partially_correct_incomplete
LF.26b2.717.1	LF_27a	: The land lines are close . 	partially_correct_incomplete
LF.26b2.740.1	LF_27a	: The lines are closer together . 	partially_correct_incomplete
LF.26b2.743.1	LF_27a	: Because it is the straightest part . 	irrelevant
LF.26b2.778.1	LF_27a	: The contour lines are closer together . 	correct
LF.26b2.786.1	LF_27a	: I know because the contour lines are closer together . 	partially_correct_incomplete
LF.26b2.802.1	LF_27a	: I know it is the steepest part because the contour lines are closer together . 	correct
LF.26b2.808.1	LF_27a	: The contour lines are close together . 	partially_correct_incomplete
LF.26b2.814.1	LF_27a	: I know it is the steepest part of the trail because the lines are the closest together . 	correct
LF.26b2.823.1	LF_27a	: Because the contour lines are closer . 	partially_correct_incomplete
LF.26b2.838.1	LF_27a	: Q because the place it is located . 	irrelevant
LF.26b2.839.1	LF_27a	: Q is on the steepest part of the trail . I know this because the lines are closer together . 	correct
LF.26b2.846.1	LF_27a	: The contour lines are close together . 	partially_correct_incomplete
LF.26b2.922.1	LF_27a	: I know it is the steepest trail because the lines are close together . 	correct
LF.26b2.468.1	LF_27a	: I know because the contour lines are smaller . 	correct
LF.26b2.661.1	LF_27a	: I Think this because for Q the mountains steepness 5000 and Q is very close . 	partially_correct_incomplete
LF.26b2.776.1	LF_27a	: The contour lines are closer together . 	correct
LF.26b2.845.1	LF_27a	: I know this by on the Q side the lines are closer together so they are steeper . 	correct
