essay_id	essay_set	essay	score1	score2
3862	2	: a ) Plastic type B has the most stretchability with a difference of 2 to 3 mm with type D that has the second most stretchability followed by type C with a difference of 10-8mm with type B , and type A with a difference of 4-1mm with type B. b ) He should have specified the total weight of the weighs and clamp he used to stretch the plastics . It also could have measured all dimensions length , width , heights of the plastic types rather than just the length . 	2	3
3163	2	: A ) Plastic type B stretched the most probably hefty or ziplock ) ^p B ) Taken thickness temp in room , original length , etc . 	2	2
3130	2	: a . Plastic B was the most stretchy . It was 22mm in the first trial in the second trial it stretched 1 more millimeter . The second most strechy polimer was plastic D I remained at 20mm both trials . ^p b . The students could have improved the experimental design ! validity of the results bys I. Specifying the amount of weight added in the experiment and 2 . They could have tried different ways of testing the stretchability othere how using weights . 	2	2
2869	2	: The student could do better by describing it more how she did it and what she did , Add , subtracting , multiply , divide or something . 	0	0
3100	2	: One conclusion that I can draw from this experiment is that plastic B stretched the most for both trials . 2 ways to improve the validity would to be add a control ( no weight ) and see if it stretches and the size of the plastic sample , just to make sure that every plastic is the same size to start . 	2	1
4043	2	: A ) I can conclude that this experiment was not valid . This student only had two trials instead of three . ^p B ) This prolect could have been valid if the student had three trials and if they had kept their controlled group constant . 	2	2
3635	2	: Based on the student 's data , I can conclude that plastic types A and B stretched more in the second trial than in the first trial . Two ways the student could have improved the experimental design and the validity of the results are that he should have written the beginning measurements of each piece of plastic , and he should have tested each piece three times not just two . 	2	2
3007	2	: The conclusion that can be drawn , based on their data , is that that plastic type A was the least stretchable and is the most durable and plastic type B is the most strechable and the least durable . One way they could 've improved their experiment is to have each plastic type have the same amount of length for each piece because that could affect the stretchability of each plastic . Another improvement could be that they could 've specified how much plastic should be hanging from the table so each plastic has same amount of length . 	3	3
3466	2	: A conclusion that can be drawn from these student data could be that plastic type D appears to be the most reliable , or stretchs the most . Two ways these students could have improved their design is they could have done more trials and also they could have kept adding weights and see where plastic broke first . and which held out the longest could have been the strongest . 	1	1
3511	2	: According to the students data the conclusion that plastic . Type A stretched the most . The student could of improved the experiment by making sure that all the plastics were the same length . Another way he/she could of improved the experiment is by doing is third trial ( T3 ) , every experiment that is being investigated should have a third trail ( T3 ) in order to get the correct results . 	2	2
3149	2	: a ) Plastic type B can be stretched the farthest . ^P b ) -1 ) The students could have specified how heavy the weights were . ^P 2 ) They could 've let the plastic hang for more than 5 minutes . 	2	2
3564	2	: Plastic A and D were able to withstand the most weights while B and C were the least . The students could have improved by using a control and doing more trials for more accurate test results . 	1	1
3307	2	: a.Based on the students ' data it can be concluded that plastic type B stretched the farthest . It stretch 22mm in T1 and 23mm in T2.^p b.Two ways to improve the validity are to say how many pounds the weights are and to state the exact name of the plastics , and not just bathe them A , B , C , and D. This would make the experiment more accurate . 	2	1
