essay_id	essay_set	essay	score1	score2
21421	8	: Paul is motivated by the information because Mr. Leonard was a star athelete and has given Mr. Leonard's time to help Mr. Leonard's time to help excel at something . Paul also is sympathetic towards Paul's coach because Mr. Leonard ca n't read , like Paul . Paul is then motivated to invest time in Mr. Leonard teaching Paul something that Paul does n't know how to do . 	2	2
20416	8	: When Paul sees that Mr. Leonard was a great high school athelete , Paul is inspired to do Paul's best , and be like Mr. Leonard . Also , having someone to look up to someone used to do the same thing that you are doing is very nice when trying to accomplish something . When Paul learns that Paul's role model was not a good student , and can not read very well , Paul is empathetic for Paul's new friend . Now that Mr. Leonard and Paul have these things in common , Mr. Leonard and Paul will begin to help each other in the areas in which Mr. Leonard and Paul struggle with . 	2	2
20790	8	: The background information that Paul finds out helps Paul know that Paul can become an athlete too . The background information also proves that Paul can go to college even though Paul ca n't read . Mr. Leonard went to college and was a good athlete even though Mr. Leonard could n't read . 	1	1
20890	8	: Paul was a guy who felt neglected and was always picked last and Mr. Leonard picked up on the fact that Paul was a guy who felt neglected and was always picked last . Mr. Leonard knows what it is like to feel embarrassed to not be able to do something because Mr. Leonard flunked out of college . Mr. Leonard motivated Paul to do hurdles and showed Paul how hurdles are obstacles in life . Mr. Leonard also found that Paul was not good at reading either so Mr. Leonard was concerned and wanted to help . 	0	0
20367	8	: That Paul and Mr. Leonard both have a problem in reading and knowing they should of got the help even if they not had a learing center . Moving along would be complicated with Paul and Mr. Leonard's lifes and gettin into a school where they are succesful in your own way of living . 	0	0
21519	8	: The effect Mr. Leonard 's background information had on Paul was that Paul began to feel a connection with Mr. Leonard . In the story , Paul stated that Paul believed Paul only did the hurdles at first because Paul was used to obeying Mr. Leonard . However , after learning about Mr. Leonard , Paul begins to see the similarities between Paul and Mr. Leonard . Both worked hard and excelled atheletically , but had trouble academically . These similarities make Paul empathetic toward Mr. Leonard and wish to help the man . 	1	1
21256	8	: This background information helps Paul realize why Mr. Leonard was helping Paul out . Before knowing that Mr. Leonard was a college track star , Paul did n't really have a reason for why Mr. Leonard went out of Mr. Leonard's way to work with Paul . Paul also makes another realization when Paul finds out that Mr. Leonard had trouble reading and learning just like Paul did . 	2	2
20935	8	: The background information about Mr. Leonard effects Paul because it was surprising that a janitor was a star athlete in college . Paul is overwhelmed because Mr. Leonard broke records and won the 400 meter hurdles at the nationals . 	2	2
21670	8	: the effect that Paul gets when Paul gets the backround information on Mr. Leonard was shcok and disbelief . After confronting Mr. leonard about the information , Paul says 'Why did n't you tell me about this . the information showed that Mt . leonard was a college freshman who won the 400 meter dash and broke records . But failed out for not being able to read . 	2	2
21549	8	: Paul felt bad and wanted to help Mr. Leonard out to by helping Mr. Leonard train 	1	1
